Infinite Magicraid (Work in progress),,,,,,,,,,,,,,,,,,
Created By: RexHeart Guild: DinoRaid,,,,,,,,,,,,,,,,,,
Follow Me @,,,,,,,Twitch,,Youtube,,,,,,,,,
Join Discord And join the community! https://discord.com/invite/UCphc39UKS,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
the following colors indicate which tier the champion stats etc are.,,,,,,,,,,,,,,,,,,
SS Tier,4.5+ Rating,,,,,,,,,,,,,,,,,
S Tier,4+ Rating,,,,,,,,,,,,,,,,,
A Tier,3.5+ Rating,,,,,,,,,,,,,,,,,
B Tier,3+ Rating,,,,,,,,,,,,,,,,,
C tier,2.5+ Rating,,,,,,,,,,,,,,,,,
D Tier,2+ Rating,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Shop Calculator,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
56 Total Debuff/Buffs,,,,,,,,,,,,,,,,,,
Heal,,,Tenacity Down II,,,C.RATE Down I,,,C.RATE Up II,,,HP Burning,,,,,,
,Restores self HP by 5% of Max HP each turn before action.,,,Decreases Tenacity By 60%,,,decreases Crit Rate by 25%,,,Increases Crit Rate by 50%,,,Takes DMG by 8% of Max HP each turn before action when self is under HP Burning status. The DMG caps at 30% of the attacker's Max HP and ignores DEF. Stackable up to 5 layers.,,,,,
,,,,,,,,,,,,,,,,,,
Taunt,,,Effect Hit Down II,,,Effect Hit Down I,,,C.RATE Up I,,,Burn,,,,,,
,Force Enemeies to target self.,,,Decreases Effect Hit by 50%,,,decreases Effect Hit by 25%,,,Increases Crit Rate by 25%,,,"Takes 50% ATK DMG of the inflictor each turn before action. Stacks 2 layers of status to get an extra of 300% ATK DMG of the inflictor with explosion and remove the debuff of
Burn, DMG ignores DEF.",,,,,
,,,,,,,,,,,,,,,,,,
Tenacity Up I,,,ATK Down I,,,Inferior Severe Wound,,,DEF Down I,,,Bleed,,,,,,
,Increases Tenacity by 30%,,,Decreases Attack by 20%,,,Decreases healed Effect by 40%,,,Decreases Defense by 30%,,,"30%/50%/70%/90%/105%/120%/135%/145%/155%/165% ATK DMG of the inflicter each turn before action based on the number of Bleed layers. This DMG ignores DEF. Stackable upto 10 layers.
",,,,,
,,,,,,,,,,,,,,,,,,
DMG Immunity,,,Silence,,,Severe Wound,,,EFfect Res Down I,,,Poison,,,,,,
,Won't take any damage at all.,,,Can't use any Active Skills,,,Decreases healed Effect By 80%,,,Decrease Effect RES by 25%,,,"takes 100% ATK DMG of the inflictor each turn before action. This DMG ignores DEF, Stackable up to 10 layers",,,,,
,,,,,,,,,,,,,,,,,,
C.DMG Up I,,,Deep Poisoning,,,Consolidation II,,,Shield,,,,,,,,,
,Increase Crit Damage by 30%,,,+25% poison DMG taken,,,Reduces 40% of the DMG taken,,,Blocks some DMG,,,,,,,,
,,,,,,,,,,,,,,,,,,
DEF Up I,,,Intetwined,,,Effect Res Up I,,,Consolidation I,,,,,,,,,
,Increases DEfense by 30%,,,Chance To stun after 2 turns,,,Increases Effect RES by 25%,,,Reduces 20% of the DMG taken.,,,,,,,,
,,,,,,,,,,,,,,,,,,
Effect Hit Up II,,,Hypnotize,,,ATK Down II,,,Ally Protection,,,,,,,,,
,Increases Effect Hit by 50%,,,Cannot move but action resumes after being attacked.,,,Decrease Attack by 40%,,,Part of the DMG taken will be borne by the Ally Protection Initiator.This Effect cannot be resisted,,,,,,,,
,,,,,,,,,,,,,,,,,,
DMG Reflect Up I,,,Tenacity Down I,,,Provoke,,,Stun,,,,,,,,,
,Increases DMG Reflect by 30%,,,Decreases Tenacity by 30%,,,Launches basic attacks to the provoker automatically,,,Cannot Act.This Effect cannot be removed.,,,,,,,,
,,,,,,,,,,,,,,,,,,
Res Debuff,,,SPD Down I,,,Effect Hit Up I,,,Effect Res Down II,,,,,,,,,
,Cannot be Inflicted with debuffs.,,,Decrease Speed by 20%,,,Increase Effect Hit by 25%,,,Decrease Effect Res By 50%,,,,,,,,
,,,,,,,,,,,,,,,,,,
C.DMG Up II,,,HP Connection,,,Counterattack,,,Stealth,,,,,,,,,
,Increases Crit Damage by 60%,,,Takes DMG equal to part of the DMG taken by any target releasing HP Connection. This effect cannot be resisted.,,,"When taking direct  DMG, attacks the attacker immediately",,,Can't Be targeted by enemies,,,,,,,,
,,,,,,,,,,,,,,,,,,
Atk Up II,,,Horrify,,,DEF Up II,,,Feebleness II,,,,,,,,,
,Increases Attack by 40%,,,The action has a 50% chance to fail and the hero's active skill enters  cooldown when they act.,,,Increases Defense by 60%,,,Increases Damage Received by 40%,,,,,,,,
,,,,,,,,,,,,,,,,,,
HP Up I,,,SPD Down II,,,DEF Down II,,,Freeze,,,,,,,,,
,Max HP +25%,,,Decrease Speed by 40%,,,Decreases Defense by 60%,,,Can't Move,,,,,,,,
,,,,,,,,,,,,,,,,,,
SPD Up I,,,RES Buff,,,Immortal,,,Control Immunity,,,,,,,,,
,Increases Speed by 20%,,,cannot be inflicted with buffs,,,Will noit die from damage and remains 1hp atleast.,,,Immune to control effects.,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Main,,Subs,,,,,,,,,,,,,,,
,Hp | Atk | Def | C.Rate | C.Dmg | Mastery,,Hp | Atk | Def | Spd | Hp Rate | Atk Rate | Def Rate | C.Rate | C.Dmg | Effect Hit | Effect Res | Mastery,,,,,,Attacker,,,Wizard's Eye,,Sword Harbor Guards,,The Forgotten,,Foresters
,Hp | Atk | Def  Effect Hit | Effect Res | Healing Effect,,Hp | Atk | Def | Spd | Hp Rate | Atk Rate | Def Rate | C.Rate | C.Dmg | Effect Hit | Effect Res | Mastery,,,,,,Support,,,Nameless Brotherhood,,Sunset Sages,,Holy Light Parliament,,
,Hp | Atk | Spd,,Hp | Atk | Def | Spd | Hp Rate | Atk Rate | Def Rate | C.Rate | C.Dmg | Effect Hit | Effect Res | Mastery,,,,,,Defensive,,,Dragon Tribe,,Doom Legion,,Eternal Sect,,
,,,,,,,,,,,,,,,,,,
,ATK +15%,,,,,,C.RATE +15%,LEECH+10%,,MASTERY +20%,,,,,,,,
,DEF +20%,,,,,,HP RATE+20%,TENACITY +20%,,EFFECT RES+20%,,,,,,,,
,hp +20%,,,,,,SPD RATE+10%,EFFECT HIT+20%,,HEALING EFFECT +20%,,,,,,,,
,SPD + 10%,,,,,,C.RATE+10%,C.DMG +15%,,,,,,,,,,
,C.RATE + 15%,,,,,,ATK RATE +10%,C.RATE +15%,,,,,,,,,,
,C.DMG +20%,,,,,,HP RATE+10%,MASTERY +20%,,,,,,,,,,
,EFFECT HIT +20%,,,,,,HP RATE +10%,HEALING EFFECT+20%,,,,,,,,,,
,TENACITY +30%,,,,,,HP RATE+10%,SPD RATE +10%,,,,,,,,,,
,LEECH +10%,,,,,,DEF RATE +15%,C.RATE +15%,,,,,,,,,,
,MASTERY +20%,,,,,,DEF RATE +15%,EFFECT RES +20%,,,,,,,,,,
,EFFECT RES +20%,,,,,,ATK RATE +8%,LEECH+10%,,,,,,,,,,
,HEALING EFFECT +20%,,,,,,DEF RATE +15%,TENACITY +30%,,,,,,,,,,
,,,,,,,MASTERY +20%,EFFECT HIT +10%,,,,,,,,,,
